id_news,event,category,address,latitud,longitud
15376,(empty),accidentes,"Empty Shop, 3728, Renato Sánchez, El Golf, Las Condes, Provincia de Santiago, Región Metropolitana de Santiago, 7550143, Chile",-33.4185122,-70.5905671
10404,Los reconocidos guitarristas Horacio Salinas y Romilio Orellana ofrecerán un concierto este domingo 25 de agosto en Sala SCD Plaza Egaña,entretenimiento,"Italia, Altos del Maitén, Melipilla, Provincia de Melipilla, Región Metropolitana de Santiago, 9580887, Chile",-33.6744647,-71.1772643
20026," El Gobierno suspendió las clases en todos los establecimientos educaciones de la Región Metropolitana, debido a los estragos causados por el sistema frontal",politica,"La Unión, Comuna de La Unión, Provincia de Ranco, Región de Los Ríos, 5220000, Chile",-40.2952392,-73.0820366
2043,"El delegado de la Región Metropolitana, Gonzalo Durán, se refirió a la posibilidad de clausurar el Teatro Caupolicán, tras haber afirmado ayer martes que esto era “parte de lo que se está evaluando”, luego que un carabinero, que se encontraba prestando servicios como guardia privado, falleciera baleado en las inmediaciones del recinto",entretenimiento,"Teatro Caupolicán, 850, San Diego, Barrio Copiapó, Santiago, Provincia de Santiago, Región Metropolitana de Santiago, 8329001, Chile",-33.4562166,-70.64923855
11508,"Dos adolescentes de 15 y 16 años, este último con antecedentes penales por robo con violencia, fueron arrestados por la Dirección de Seguridad Pública de la Municipalidad de Temuco después de ser sorprendidos escapando tras robar suministros médicos de vehículos estacionados",accidentes,"Pichicautín, Temuco, Provincia de Cautín, Región de la Araucanía, 4791250, Chile",-38.7455569,-72.5985394
8398,"Según el pronóstico del tiempo, se esperan lluvias, granizos, tormentas eléctricas, rachas de viento sobre 70 km/h y bajas temperaturas en Chile durante esta semana, resultado de una baja segregada",internacional,"Cerro Yeguas Heladas Norte, Los Andes, Provincia de Los Andes, Región de Valparaíso, Chile",-32.9718731,-70.1450831
15574,"En la madrugada de este jueves, un incendio estructural destruyó por completo a tres viviendas de la comuna de Conchalí, Región Metropolitana",accidentes,"Radio Bio Bio, 496, Diego Portales, Centro, Temuco, Provincia de Cautín, Región de la Araucanía, 4781158, Chile",-38.7368401,-72.5942949
11331,Un grupo de diputados y diputadas de Renovación Nacional (RN) presentaron este miércoles un proyecto de reforma constitucional que busca impedir que los deudores de alimentos postulen a legisladores y también a la presidencia del país,politica,"República, Ciclovía Alameda, Barrio Concha y Toro, Santiago, Provincia de Santiago, Región Metropolitana de Santiago, 8350708, Chile",-33.447702,-70.6671366
9092,"El ministro de la Secretaría General de la Presidencia (Segpres),  Álvaro Elizalde,  abordó la controversia surgida tras el hallazgo en un basural clandestino de  cartas dirigidas a pacientes en listas de espera,  y que debían ser notificados por parte del Hospital Regional de Talca",politica,"Hospital Regional de Talca, 1990, 1 Norte, Población Pedro Aguirre Cerda, Talca, Provincia de Talca, Región del Maule, 3461761, Chile",-35.42685275,-71.64645762748287
14496," El candidato que apoyará el partido político de izquierda será el ex director nacional de la Conadi, quien representa al Frente Amplio",politica,"Ministerio Secretaría General de Gobierno, Moneda, Barrio La Bolsa, Santiago, Provincia de Santiago, Región Metropolitana de Santiago, 8340665, Chile",-33.4424228,-70.6542697
4720,"A través de un video de TikTok, una de las tiendas más conocidas ubicadas en el Eurocentro, ""Wallride"", comunicó que cerrarán sus operaciones en el tradicional edificio ubicado en el centro de Santiago",entretenimiento,"Santiago, Provincia de Santiago, Región Metropolitana de Santiago, Chile",-33.4377756,-70.6504502
10650,"Tras cuatro años fuera de las pistas nacionales, el piloto talquino Benjamín Herrera retomó el 2024 las competencias deportivas en el país, confirmando su participación en el Campeonato Nacional de Enduro, certamen en el que dirá presente también este fin de semana en su sexta y séptima fecha, que se realizarán en Guangualí, Región de Coquimbo",accidentes,"Región de Coquimbo, Chile",-30.7546652,-70.9005536
3473,Claudio Bravo anunció su decisión de retirarse del fútbol profesional luego de haber terminado contrato con el Betis en España,entretenimiento,Chile,-31.7613365,-71.3187697
5354,"La mañana de este viernes, la ministra del Interior, Carolina Tohá, reiteró que en años anteriores los recursos en materia de seguridad no se incrementaron, pese a los cambios en la criminalidad, por lo mismo, “recién ahora” se han aumentado las capacidades de las instituciones",entretenimiento,"Interior, Población Santa Anita, Valle Hermoso, La Ligua, Provincia de Petorca, Región de Valparaíso, 2030000, Chile",-32.4329388,-71.2089735
14626,"El deportista nacional Joaquín Churchill tuvo una corta expedición en los Juegos Olímpicos de París 2024 en el taekwondo luego de perder el combate ante el coreano Seo Geon-Woo, 4° sembrado en el certamen",internacional,"칠레대사관, 97, 퇴계로, 충무로1가, 명동, 중구, 서울특별시, 04535, 대한민국",37.5609333,126.9826234
7870,"El cantante aseguró a CNN Magazine que su próxima presentación en Chile contemplará ""un show mucho más cercano"" con el público",entretenimiento,"Gran Arena Monticello, Ruta 5 Sur, Chita Que Lindo, Mostazal, Provincia de Cachapoal, Región del Libertador General Bernardo O'Higgins, Chile",-33.9220276,-70.7212841
12162,(empty),accidentes,"Empty Shop, 3728, Renato Sánchez, El Golf, Las Condes, Provincia de Santiago, Región Metropolitana de Santiago, 7550143, Chile",-33.4185122,-70.5905671
18841,"El agresivo sistema frontal que azotó la zona centro sur del país dejó a su paso cientos de techumbres y árboles caídos, más de 500 semáforos apagados en la capital y registros récord de vientos de hasta 124 km/h",accidentes,"Santiago, Provincia de Santiago, Región Metropolitana de Santiago, Chile",-33.4377756,-70.6504502
4293,"Más de 33 establecimientos educacionales públicos de Andacollo y Coquimbo participaron en la primera fecha de la Liga de Fútbol del Servicio Local de Educación Pública Puerto Cordillera, actividad parte del Plan de Educación Integral donde fueron protagonista 350 estudiantes para incentivar la participación, asistencia y revinculación, así como también fortalecer la convivencia, el deporte y la vida sana",politica,"Andacollo, Provincia de Elqui, Región de Coquimbo, Chile",-30.2322048,-71.0847556
16652,"Los conciertos que la cantante Taylor Swift tenía previstos para esta semana en la ciudad de Viena, Austria, fueron cancelados luego de que se conociera un plan de atentado islamista, hecho que además dejó este miércoles dos detenidos",accidentes,"Viena, Villa Aguas Claras, Malloco, Peñaflor, Provincia de Talagante, Región Metropolitana de Santiago, 9750000, Chile",-33.6075523,-70.8662644
12283,"El capitán granate agradeció las muestras de cariño que le enviaron los hinchas tras ser trasladado en ambulancia desde la cancha a la Clínica Elqui, por la fuerte caída que sufrió en el encuentro donde Deportes La Serena venció a Curicó Unido",accidentes,"Club Deportes La Serena, 250, Manuel Antonio Matta, Mermasol, La Serena, Provincia de Elqui, Región de Coquimbo, 1700900, Chile",-29.9002158,-71.2522308
16736,"El Museo de Bomberos de Santiago (MuBo) invita a celebrar el Día del Niño este domingo 11 de agosto en su sede de la calle Santo Domingo 978, Santiago Centro, con entrada liberada para todo público de 10:00 AM a 6:00 PM",salud,"Biblioteca Nacional de Chile, 651, Avenida Libertador Bernardo O'Higgins, Barrio Lastarria, Santiago, Provincia de Santiago, Región Metropolitana de Santiago, 8330093, Chile",-33.4420638,-70.64566468911121
2145,Hoy nuestra principal fuente de financiamiento son nuestros socios,politica,"Japón, Condominos Monte Sol, Alto Hospicio, Provincia de Iquique, Región de Tarapacá, 1130000, Chile",-20.2920917,-70.0969341
3375,"El primer chileno en llegar a la NFL, Sammis Reyes, fue despedido por los Minnesota Vikings en medio de las reducciones de plantilla previas al inicio de la temporada del Fútbol Americano estadounidense",accidentes,"EEUU, Villa Don Carlos, Huapi, Linares, Provincia de Linares, Región del Maule, 3581004, Chile",-35.8578063,-71.5853138
